News_content,scores,wordList
"Cuando era niña estaba rodeada de mujeres instruidas que no eran ni esposas ni madres, que no usaban maquillaje y que vivían en comunidad. Para nosotras, eran un modelo de igualdad.",-0.5267,"['cuando', 'era', 'niña', 'estaba', 'rodeada', 'mujeres', 'instruidas', 'que', 'eran', 'ni', 'esposas', 'ni', 'madres', 'que', 'usaban', 'maquillaje', 'que', 'vivían', 'en', 'comunidad', 'para', 'nosotras', 'eran', 'un', 'modelo', 'igualdad']"
"Por 
LIESL SCHWABE

",0.0,"['por', 'liesl', 'schwabe']"
"Nos conocimos en línea y comenzamos a salir; poco después descubrimos que teníamos una pasión en común, pero yo guardaba un secreto muy grande que temía confesarle: en todo el año solo había leído un libro. ",0.0,"['no', 'conocimos', 'en', 'línea', 'comenzamos', 'salir', 'poco', 'después', 'descubrimos', 'que', 'teníamos', 'una', 'pasión', 'en', 'común', 'pero', 'yo', 'guardaba', 'un', 'secreto', 'muy', 'grande', 'que', 'temía', 'confesarle', 'en', 'todo', 'el', 'año', 'solo', 'había', 'leído', 'un', 'libro']"
"Por 
KARLA MARIE-ROSE DERUS

",0.0,"['por', 'karla', 'derus']"
"Les pedimos a los venezolanos que nos leen, ya sea desde ese país o cualquier otro de América Latina, que nos compartieran cómo la crisis afecta el futuro del país y si están dispuestos a participar activamente en la política.",-0.6249,"['le', 'pedimos', 'los', 'venezolanos', 'que', 'no', 'leen', 'ya', 'sea', 'desde', 'ese', 'país', 'cualquier', 'otro', 'américa', 'latina', 'que', 'no', 'compartieran', 'cómo', 'crisis', 'afecta', 'el', 'futuro', 'del', 'país', 'si', 'están', 'dispuestos', 'participar', 'activamente', 'en', 'política']"
"Por 
KELLY VIRELLA

 y 
LELA MOORE

",0.0,"['por', 'kelly', 'virella', 'lela', 'moore']"
"El arte sobrevive a cualquier gobierno, permite vivir lo que nos está negado como ciudadanos y nos ayuda a crear la realidad política que queremos construir. Así, vivo en el futuro, en una Cuba diferente. Para atraparme, los censores tienen que venir a ese lugar.",0.0,"['el', 'arte', 'sobrevive', 'cualquier', 'gobierno', 'permite', 'vivir', 'lo', 'que', 'no', 'está', 'negado', 'como', 'ciudadanos', 'no', 'ayuda', 'crear', 'realidad', 'política', 'que', 'queremos', 'construir', 'así', 'vivo', 'en', 'el', 'futuro', 'en', 'una', 'cuba', 'diferente', 'para', 'atraparme', 'los', 'censores', 'tienen', 'que', 'venir', 'ese', 'lugar']"
"Por 
TANIA BRUGUERA

",0.0,"['por', 'tania', 'bruguera']"
"Dos marcas de ropa han usado exitosamente el trabajo de prisioneros peruanos para producir sus prendas y darles empleo y capacitación, una tendencia que crece en el mundo. ¿Es posible —y ético— construir tras las rejas un negocio rentable de moda?",0.0,"['do', 'marcas', 'ropa', 'han', 'usado', 'exitosamente', 'el', 'trabajo', 'prisioneros', 'peruanos', 'para', 'producir', 'sus', 'prendas', 'darles', 'empleo', 'capacitación', 'una', 'tendencia', 'que', 'crece', 'en', 'el', 'mundo', 'posible', 'construir', 'tras', 'la', 'rejas', 'un', 'negocio', 'rentable', 'moda']"
"Por 
ELIZABETH PATON

 y 
ANDREA ZARATE

",0.0,"['por', 'elizabeth', 'paton', 'andrea', 'zarate']"
"Quienes buscan naturalizarse ahora deben esperar hasta 31 meses para que se procesen sus documentos, casi el doble de tiempo que hace dos años, ya que la Casa Blanca ha intensificado la revisión de las solicitudes que permitirían votar a más personas en 2020.",0.34,"['quienes', 'buscan', 'naturalizarse', 'ahora', 'deben', 'esperar', 'hasta', 'me', 'para', 'que', 'se', 'procesen', 'sus', 'documentos', 'casi', 'el', 'doble', 'tiempo', 'que', 'hace', 'do', 'años', 'ya', 'que', 'casa', 'blanca', 'ha', 'intensificado', 'revisión', 'la', 'solicitude', 'que', 'permitirían', 'votar', 'más', 'persona', 'en']"
"Por 
MIRIAM JORDAN

",0.0,"['por', 'miriam', 'jordan']"
"Mientras la iglesia católica celebra una cumbre con clérigos de todo el mundo para discutir las revelaciones de abuso sexual eclesiástico, repasamos las diversas polémicas en el seno de la Santa Sede, que incluyen el abuso de monjas y el escándalo de los sacerdotes que tienen hijos.",0.0,"['mientras', 'iglesia', 'católica', 'celebra', 'una', 'cumbre', 'con', 'clérigos', 'todo', 'el', 'mundo', 'para', 'discutir', 'la', 'revelaciones', 'abuso', 'sexual', 'eclesiástico', 'repasamos', 'la', 'diversas', 'polémicas', 'en', 'el', 'seno', 'santa', 'sede', 'que', 'incluyen', 'el', 'abuso', 'monjas', 'el', 'escándalo', 'los', 'sacerdotes', 'que', 'tienen', 'hijos']"
"Por 
MEGAN SPECIA

",0.0,"['por', 'megan', 'specia']"
"Hugo Carvajal exhortó al ejército a romper con el gobierno de Nicolás Maduro antes del sábado, fecha límite establecida por la oposición para mover ayuda humanitaria por las fronteras, y dijo que varios funcionarios del gobierno han participado activamente en el narcotráfico.",0.0,"['hugo', 'carvajal', 'exhortó', 'al', 'ejército', 'romper', 'con', 'el', 'gobierno', 'nicolás', 'maduro', 'ante', 'del', 'sábado', 'fecha', 'límite', 'establecida', 'por', 'oposición', 'para', 'mover', 'ayuda', 'humanitaria', 'por', 'la', 'fronteras', 'dijo', 'que', 'varios', 'funcionarios', 'del', 'gobierno', 'han', 'participado', 'activamente', 'en', 'el', 'narcotráfico']"
"Por 
ANA VANESSA HERRERO

 y 
NICHOLAS CASEY

",0.0,"['por', 'ana', 'vanessa', 'herrero', 'nicholas', 'casey']"
El gobierno estadounidense fue uno de los primeros en reconocer la presidencia interina de Juan Guaidó y en esta semana Donald Trump ha sido muy claro en su apoyo a la oposición venezolana. Este respaldo de Estados Unidos no puede ser la razón para deslegitimar la cruzada legal y pacífica de recuperar la democracia en el país.,0.1779,"['el', 'gobierno', 'estadounidense', 'fue', 'uno', 'los', 'primeros', 'en', 'reconocer', 'presidencia', 'interina', 'juan', 'guaidó', 'en', 'esta', 'semana', 'donald', 'trump', 'ha', 'sido', 'muy', 'claro', 'en', 'su', 'apoyo', 'oposición', 'venezolana', 'este', 'respaldo', 'estados', 'unidos', 'puede', 'ser', 'razón', 'para', 'deslegitimar', 'cruzada', 'legal', 'pacífica', 'recuperar', 'democracia', 'en', 'el', 'país']"
"Por 
GISELA KOZAK ROVERO

",0.0,"['por', 'gisela', 'kozak', 'rovero']"
"Es posible reintroducir un alimento nocivo a la dieta, pero se debe buscar la ayuda de un especialista, dadas las complejidades y los posibles peligros en el diagnóstico y el tratamiento de la intolerancia alimentaria.",0.0,"['e', 'posible', 'reintroducir', 'un', 'alimento', 'nocivo', 'dieta', 'pero', 'se', 'debe', 'buscar', 'ayuda', 'un', 'especialista', 'dada', 'la', 'complejidades', 'los', 'posibles', 'peligros', 'en', 'el', 'diagnóstico', 'el', 'tratamiento', 'intolerancia', 'alimentaria']"
"Por 
RICHARD KLASCO

",0.0,"['por', 'richard', 'klasco']"
A medida que la crisis en Venezuela se intensifica y la estrategia del gobierno de Estados Unidos en el país sudamericano —amenazas y el uso de la ayuda humanitaria como arma política— corre un riesgo injustificable y sería contraproducente para el pueblo venezolano.,-0.6249,"['medida', 'que', 'crisis', 'en', 'venezuela', 'se', 'intensifica', 'estrategia', 'del', 'gobierno', 'estados', 'unidos', 'en', 'el', 'país', 'sudamericano', 'el', 'uso', 'ayuda', 'humanitaria', 'como', 'arma', 'corre', 'un', 'riesgo', 'injustificable', 'sería', 'contraproducente', 'para', 'el', 'pueblo', 'venezolano']"
"Por 
EL COMITÉ EDITORIAL

",0.0,"['por', 'el', 'comité', 'editorial']"
"La garantía de anonimato a los donantes de esperma y la promesa de que no tendrían relación con su descendencia a menos que así lo quisieran, fue la base de la industria de la fertilidad, que hoy es desafiada por la popularidad de las pruebas de ADN.",-0.296,"['garantía', 'anonimato', 'los', 'donantes', 'esperma', 'promesa', 'que', 'tendrían', 'relación', 'con', 'su', 'descendencia', 'menos', 'que', 'así', 'lo', 'quisieran', 'fue', 'base', 'industria', 'fertilidad', 'que', 'hoy', 'e', 'desafiada', 'por', 'popularidad', 'la', 'pruebas', 'adn']"
"Por 
JACQUELINE MROZ

",0.0,"['por', 'jacqueline', 'mroz']"
"Durante su campaña a la presidencia, Trump no se limitó a prometer el muro fronterizo, también prometió una reconstrucción sustancial de la infraestructura estadounidense. Pero luego pasaron meses y meses sin que hiciera nada. ¿A qué se debe esta parálisis?",-0.7003,"['durante', 'su', 'campaña', 'presidencia', 'trump', 'se', 'limitó', 'prometer', 'el', 'muro', 'fronterizo', 'también', 'prometió', 'una', 'reconstrucción', 'sustancial', 'infraestructura', 'estadounidense', 'pero', 'luego', 'pasaron', 'me', 'me', 'sin', 'que', 'hiciera', 'nada', 'qué', 'se', 'debe', 'esta', 'parálisis']"
"Por 
PAUL KRUGMAN

",0.0,"['por', 'paul', 'krugman']"
"Los líderes de la iglesia se reúnen en el Vaticano para atender la crisis generada por el abuso sexual eclesiástico pero advierten que la diversidad de puntos de vista y las barreras legales y culturales en todo el mundo, así como la negación, imposibilitan la creación de un estándar global de sanciones contra los perpetradores.",-0.6249,"['los', 'líderes', 'iglesia', 'se', 'reúnen', 'en', 'el', 'vaticano', 'para', 'atender', 'crisis', 'generada', 'por', 'el', 'abuso', 'sexual', 'eclesiástico', 'pero', 'advierten', 'que', 'diversidad', 'puntos', 'vista', 'la', 'barreras', 'legales', 'culturales', 'en', 'todo', 'el', 'mundo', 'así', 'como', 'negación', 'imposibilitan', 'creación', 'un', 'estándar', 'global', 'sanciones', 'contra', 'los', 'perpetradores']"
"Por 
JASON HOROWITZ

",0.0,"['por', 'jason', 'horowitz']"
"Más de tres millones de personas han emigrado de Venezuela debido al hambre y la represión. Muchas de ellas no tienen dinero para pagar un pasaje de autobús y atraviesan a pie caminos montañosos y fríos hacia los países vecinos. Llevan maletas breves, bebés recién nacidos y la esperanza colectiva de alejarse del colapso de su país.",-0.296,"['más', 'tres', 'millones', 'persona', 'han', 'emigrado', 'venezuela', 'debido', 'al', 'hambre', 'represión', 'muchas', 'ellas', 'tienen', 'dinero', 'para', 'pagar', 'un', 'pasaje', 'autobús', 'atraviesan', 'pie', 'caminos', 'montañosos', 'fríos', 'hacia', 'los', 'países', 'vecinos', 'llevan', 'maletas', 'breve', 'bebés', 'recién', 'nacidos', 'esperanza', 'colectiva', 'alejarse', 'del', 'colapso', 'su', 'país']"
"Por 
NICHOLAS CASEY

 y 
JENNY CAROLINA GONZÁLEZ

",0.0,"['por', 'nicholas', 'casey', 'jenny', 'carolina', 'gonzález']"
"Un análisis de The New York Times da cuenta de los intentos del presidente estadounidense por intimidar, presionar y humillar a quienes participan en las indagatorias que lo rodean, sobre todo de su campaña para desacreditar la investigación sobre sus vínculos con Rusia.",0.0,"['un', 'análisis', 'da', 'cuenta', 'los', 'intentos', 'del', 'presidente', 'estadounidense', 'por', 'intimidar', 'presionar', 'humillar', 'quienes', 'participan', 'en', 'la', 'indagatorias', 'que', 'lo', 'rodean', 'sobre', 'todo', 'su', 'campaña', 'para', 'desacreditar', 'investigación', 'sobre', 'sus', 'vínculos', 'con', 'rusia']"
"Por 
EILEEN SULLIVAN

",0.0,"['por', 'eileen', 'sullivan']"
Si ajustas algunos hábitos diarios puedes contribuir a que se reduzca la contaminación por plásticos en el mundo; empieza con eliminar algunos productos de uso único no degradables que terminarían en el mar o en vertederos.,-0.296,"['si', 'ajustas', 'algunos', 'hábitos', 'diarios', 'puedes', 'contribuir', 'que', 'se', 'reduzca', 'contaminación', 'por', 'plásticos', 'en', 'el', 'mundo', 'empieza', 'con', 'eliminar', 'algunos', 'productos', 'uso', 'único', 'degradables', 'que', 'terminarían', 'en', 'el', 'mar', 'en', 'vertederos']"
"Por 
STEVEN KURUTZ

",0.0,"['por', 'steven', 'kurutz']"
"La Iglesia católica hará una reunión de cuatro días en el Vaticano para hablar sobre los casos de abuso sexual infantil por parte de integrantes del clero; asistirán 190 participantes, entre ellos presidentes de las conferencias episcopales y víctimas.",0.0,"['iglesia', 'católica', 'hará', 'una', 'reunión', 'cuatro', 'días', 'en', 'el', 'vaticano', 'para', 'hablar', 'sobre', 'los', 'casos', 'abuso', 'sexual', 'infantil', 'por', 'parte', 'integrantes', 'del', 'clero', 'asistirán', 'participantes', 'entre', 'ellos', 'presidentes', 'la', 'conferencias', 'episcopales', 'víctimas']"
"Por 
JASON HOROWITZ

 y 
ELISABETTA POVOLEDO

",0.0,"['por', 'jason', 'horowitz', 'elisabetta', 'povoledo']"
"Nuestras imágenes ya no están relegadas a los álbumes familiares polvorientos; ahora, nuestras expresiones menos favorecedoras sobreviven en redes sociales. Aquí algunas claves para captar tu mejor cara.",-0.296,"['nuestras', 'imágenes', 'ya', 'están', 'relegadas', 'los', 'álbumes', 'familiares', 'polvorientos', 'ahora', 'nuestras', 'expresiones', 'menos', 'favorecedoras', 'sobreviven', 'en', 'redes', 'sociales', 'aquí', 'algunas', 'claves', 'para', 'captar', 'tu', 'mejor', 'cara']"
"Por 
VALERIYA SAFRONOVA

",0.0,"['por', 'valeriya', 'safronova']"
"La joven sueca de 16 años busca recordarle al mundo la urgencia de la acción climática y ha decidido faltar a la escuela los viernes, convenció a su madre de que no volviera a subirse a un avión y ha hablado frente a líderes mundiales.",0.3818,"['joven', 'sueca', 'años', 'busca', 'recordarle', 'al', 'mundo', 'urgencia', 'acción', 'climática', 'ha', 'decidido', 'faltar', 'escuela', 'los', 'viernes', 'convenció', 'su', 'madre', 'que', 'volviera', 'subirse', 'un', 'avión', 'ha', 'hablado', 'frente', 'líderes', 'mundiales']"
"Por 
SOMINI SENGUPTA

",0.0,"['por', 'somini', 'sengupta']"
"El fiscal de Colombia está al centro de un escándalo que compromete su imparcialidad al investigar la corrupción. Para que la justicia colombiana mantenga su credibilidad, Néstor Humberto Martínez debe renunciar.",0.0,"['el', 'fiscal', 'colombia', 'está', 'al', 'centro', 'un', 'escándalo', 'que', 'compromete', 'su', 'imparcialidad', 'al', 'investigar', 'corrupción', 'para', 'que', 'justicia', 'colombiana', 'mantenga', 'su', 'credibilidad', 'néstor', 'humberto', 'martínez', 'debe', 'renunciar']"
"Por 
JORGE EDUARDO ESPINOSA

",0.0,"['por', 'jorge', 'eduardo', 'espinosa']"
"La empresa Virgin Hyperloop One ha empezado a probar un sistema de levitación magnética que enviaría pasajeros a toda velocidad en cápsulas que viajarán a través de tubos al vacío. Otras empresas en Abu Dabi, Francia e India avanzan en la misma dirección.",0.34,"['empresa', 'virgin', 'hyperloop', 'ha', 'empezado', 'probar', 'un', 'sistema', 'levitación', 'magnética', 'que', 'enviaría', 'pasajeros', 'toda', 'velocidad', 'en', 'cápsulas', 'que', 'viajarán', 'través', 'tubos', 'al', 'vacío', 'otras', 'empresas', 'en', 'abu', 'dabi', 'francia', 'india', 'avanzan', 'en', 'misma', 'dirección']"
"Por 
ERIC A. TAUB

",0.0,"['por', 'eric', 'taub']"
Suscríbete al boletín diario de The New York Times en Español: una guía con las noticias más destacadas y los mejores artículos para entender lo que está sucediendo en América Latina y el mundo.,0.0,"['suscríbete', 'al', 'boletín', 'diario', 'en', 'español', 'una', 'guía', 'con', 'la', 'noticias', 'más', 'destacadas', 'los', 'mejores', 'artículos', 'para', 'entender', 'lo', 'que', 'está', 'sucediendo', 'en', 'américa', 'latina', 'el', 'mundo']"
"Por favor, comprueba que no eres un robot al dar clic en la casilla.",0.128,"['por', 'favor', 'comprueba', 'que', 'eres', 'un', 'robot', 'al', 'dar', 'clic', 'en', 'casilla']"
El correo electrónico no es válida.,-0.296,"['el', 'correo', 'electrónico', 'e', 'válida']"
Selecciona los boletines a los que deseas suscribirte.,0.0,"['selecciona', 'los', 'boletines', 'los', 'que', 'deseas', 'suscribirte']"
Ver todos los boletines de The New York Times.,0.0,"['ver', 'todos', 'los', 'boletines']"
"En la cumbre vaticana sobre los escándalos de abuso eclesiástico a menores, varios asistentes insistieron en discutir sobre la orientación sexual del clero a pesar de que los organizadores señalaron que es erróneo creer que los homosexuales son más propensos a cometer abuso.",0.0,"['en', 'cumbre', 'vaticana', 'sobre', 'los', 'escándalos', 'abuso', 'eclesiástico', 'menores', 'varios', 'asistentes', 'insistieron', 'en', 'discutir', 'sobre', 'orientación', 'sexual', 'del', 'clero', 'pesar', 'que', 'los', 'organizadores', 'señalaron', 'que', 'e', 'erróneo', 'creer', 'que', 'los', 'homosexuales', 'son', 'más', 'propensos', 'cometer', 'abuso']"
"Por 
JASON HOROWITZ

 y 
ELISABETTA POVOLEDO

",0.0,"['por', 'jason', 'horowitz', 'elisabetta', 'povoledo']"
"En enfrentamientos con el gobierno de Nicolás Maduro, la oposición encabezada por Juan Guaidó logró que un pequeño cargamento de suministros cruzara desde Brasil. En el resto de la frontera los esfuerzos se estancaron. Hay al menos cuatro muertos y decenas de heridos.",0.0,"['en', 'enfrentamientos', 'con', 'el', 'gobierno', 'nicolás', 'maduro', 'oposición', 'encabezada', 'por', 'juan', 'guaidó', 'logró', 'que', 'un', 'pequeño', 'cargamento', 'suministros', 'cruzara', 'desde', 'brasil', 'en', 'el', 'resto', 'frontera', 'los', 'esfuerzos', 'se', 'estancaron', 'hay', 'al', 'menos', 'cuatro', 'muertos', 'decenas', 'heridos']"
"Por 
NICHOLAS CASEY

, 
ALBINSON LINARES

 y 
ANATOLY KURMANAEV

",0.0,"['por', 'nicholas', 'casey', 'albinson', 'linares', 'anatoly', 'kurmanaev']"
"¿Qué procesos y qué entes misteriosos determinan quién gana el máximo premio de Hollywood cada año? ¿Quién posiblemente ganará este año? Y, por cierto, ¿por qué se llama Oscar? Te explicamos cómo funciona la Academia de Artes y Ciencias Cinematográficas.",0.0,"['procesos', 'qué', 'entes', 'misteriosos', 'determinan', 'quién', 'gana', 'el', 'máximo', 'premio', 'hollywood', 'cada', 'año', 'posiblemente', 'ganará', 'este', 'año', 'por', 'cierto', 'qué', 'se', 'llama', 'oscar', 'te', 'explicamos', 'cómo', 'funciona', 'academia', 'artes', 'ciencias', 'cinematográficas']"
"Por 
MARINA FRANCO

",0.0,"['por', 'marina', 'franco']"
"No hay subgénero musical, cinematográfico, teatral o literario que no cuente con su cita anual. No hay tendencia que no tenga su salón, su feria, su fiesta, su nicho de negocio. La fórmula se aplica automáticamente a cualquier lenguaje artístico o afición, al margen de que hacerlo tenga o no sentido.",-0.7096,"['hay', 'subgénero', 'musical', 'cinematográfico', 'teatral', 'literario', 'que', 'cuente', 'con', 'su', 'cita', 'anual', 'hay', 'tendencia', 'que', 'tenga', 'su', 'salón', 'su', 'feria', 'su', 'fiesta', 'su', 'nicho', 'negocio', 'fórmula', 'se', 'aplica', 'automáticamente', 'cualquier', 'lenguaje', 'artístico', 'afición', 'al', 'margen', 'que', 'hacerlo', 'tenga', 'sentido']"
"Por 
JORGE CARRIÓN

",0.0,"['por', 'jorge', 'carrión']"
"¿Se dice ""ruptura"" amorosa o ""rompimiento""? ¿Cómo se escriben los apodos? ¿Está bien usar ""pilota"" de carreras? En este espacio compartiremos decisiones de estilo que tomamos en The New York Times en Español y recomendaciones para escribir en nuestra lengua. ",0.0,"['dice', 'ruptura', 'amorosa', 'rompimiento', 'se', 'escriben', 'los', 'apodos', 'bien', 'usar', 'pilota', 'carreras', 'en', 'este', 'espacio', 'compartiremos', 'decisiones', 'estilo', 'que', 'tomamos', 'en', 'en', 'español', 'recomendaciones', 'para', 'escribir', 'en', 'nuestra', 'lengua']"
"Por 
PAULINA CHAVIRA

",0.0,"['por', 'paulina', 'chavira']"
